"pay_reg","idp_refugie_last_month","idp_refugie_3_months","food_access_no","mean_existence_access_no","market_access","security_feeling_no","health_access_no","education_access_no","diff_info_access","diff_info_access_no","nutri_programme","enough_water_access_no","pdi_vivant_cond_adeq_no","abris_dommages","procuration_savon","tel_mobile","settlement_assessed_num","ki_num"
"burkina_faso_centre_nord",0.0697674418604651,0.201550387596899,0.209302325581395,0.193798449612403,0.984496124031008,0.170542635658915,0.0542635658914729,0.201550387596899,0.0852713178294574,0.914728682170543,0.976744186046512,0.341085271317829,0.38135593220339,0.00775193798449612,0.131782945736434,0.937984496124031,129,203
"burkina_faso_est",0.0555555555555556,0.152777777777778,0.291666666666667,0.236111111111111,0.967592592592593,0.5,0.0416666666666667,0.449074074074074,0.282407407407407,0.717592592592593,0.949074074074074,0.703703703703704,0.707692307692308,0.0416666666666667,0.699074074074074,0.712962962962963,216,274
"burkina_faso_nord",0.120689655172414,0.189655172413793,0.482758620689655,0.367816091954023,0.873563218390805,0.425287356321839,0.0574712643678161,0.247126436781609,0.344827586206897,0.655172413793103,0.936781609195402,0.298850574712644,0.711864406779661,0.0229885057471264,0.545977011494253,0.919540229885057,174,179
"burkina_faso_sahel",0.156521739130435,0.304347826086957,0.617391304347826,0.660869565217391,0.939130434782609,0.48695652173913,0.156521739130435,0.834782608695652,0.347826086956522,0.652173913043478,0.869565217391304,0.608695652173913,0.56701030927835,0.00869565217391304,0.443478260869565,0.730434782608696,115,152
"mali_gao",0.128491620111732,0.223463687150838,0.458100558659218,0.329608938547486,0.754189944134078,0.709497206703911,0.284916201117318,0.748603351955307,0.307262569832402,0.687150837988827,0.463687150837989,0.29608938547486,0.666666666666667,0.145251396648045,0.620111731843575,0.368715083798883,179,180
"mali_menaka",0.1,0.45,0.575,0.6,0.425,0.725,0.725,0.9,0.375,0.625,0.075,0.575,0.777777777777778,0.075,0.85,0.05,40,42
"mali_mopti",0.0736434108527132,0.224806201550388,0.430232558139535,0.616279069767442,0.720930232558139,1,0.267441860465116,0.89922480620155,0.0658914728682171,0.934108527131783,0.527131782945736,0.368217054263566,0.950920245398773,0.00387596899224806,0.344961240310078,0.906976744186046,258,263
"mali_tombouctou",0.0485436893203883,0.155339805825243,0.339805825242718,0.398058252427184,0.640776699029126,0.631067961165049,0.359223300970874,0.757281553398058,0.281553398058252,0.718446601941748,0.495145631067961,0.310679611650485,0.655172413793103,0,0.436893203883495,0.378640776699029,103,104
"niger_tahoua",0.0980392156862745,0.117647058823529,0.745098039215686,0.686274509803922,0.666666666666667,0.509803921568627,0.274509803921569,0.254901960784314,0.392156862745098,0.607843137254902,0.647058823529412,0.607843137254902,0.266666666666667,0.0196078431372549,0.568627450980392,0.411764705882353,51,78
"niger_tillaberi",0.0129032258064516,0.021505376344086,0.509677419354839,0.475268817204301,0.974193548387097,0.266666666666667,0.0172043010752688,0.118279569892473,0.193548387096774,0.806451612903226,0.834408602150538,0.496774193548387,0.6875,0.0258064516129032,0.50752688172043,0.720430107526882,465,769
